,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
75,2022-10-20,vic.vn,58100.0,58700.0,57200.0,58600.0,1100000.0,3.0,-1072.8914504440763,63424.905354517025,54305.094645482975,41.582397060161966,-56.65930831493752,28.02704044148489,60426.666666666664,62868.333333333336,29.979999542236328,0.032741863494664486
76,2022-10-21,vic.vn,58500.0,58500.0,54500.0,56800.0,1410000.0,4.0,-1162.3465472316311,62864.46076847178,54285.53923152822,38.86340549839169,-94.93018461250114,35.39628988755329,60173.333333333336,62706.666666666664,29.690000534057617,2.7938855476746127
77,2022-10-24,vic.vn,56000.0,56600.0,52900.0,56500.0,1610000.0,0.0,-1243.1179587064107,62364.22129526559,54235.77870473441,38.43015163583731,-123.78963356749573,39.211800381117605,59923.333333333336,62531.666666666664,29.850000381469727,0.04364193946906639
78,2022-10-25,vic.vn,56300.0,56300.0,53000.0,56100.0,1450000.0,1.0,-1324.1426490788872,62023.547394337256,54086.452605662744,37.848171072341366,-121.06062523731192,39.21180038111761,59656.666666666664,62400.0,28.459999084472656,0.09576446109966151
79,2022-10-26,vic.vn,56100.0,56100.0,53500.0,54800.0,1050000.0,2.0,-1476.2372908342004,62143.54303748904,53696.45696251096,36.0145041926944,-120.50214405568333,39.211800381117605,59370.0,62235.0,27.280000686645508,1.4933135946753129
80,2022-10-27,vic.vn,54600.0,55000.0,52500.0,55000.0,1970000.0,3.0,-1562.622126501934,62100.667962573476,53779.332037426524,36.50409265695439,-128.0900258270814,41.598348043454436,59073.333333333336,62041.666666666664,27.389999389648438,0.1001455216299984
81,2022-10-28,vic.vn,55400.0,55800.0,53500.0,55700.0,1280000.0,4.0,-1556.654437905403,62042.26340172306,53907.73659827694,38.21575724651171,-98.07014288365194,37.14244270919356,58846.666666666664,61870.0,25.75,0.7002549522426236
82,2022-10-31,vic.vn,56000.0,56400.0,54300.0,55400.0,1050000.0,0.0,-1558.170870624308,62050.29926663617,53889.70073336383,37.76441892359105,-82.24211022138483,33.87387031586459,58596.666666666664,61686.666666666664,25.8799991607666,0.03992579732861622
83,2022-11-01,vic.vn,55700.0,55800.0,54000.0,55400.0,1420000.0,1.0,-1541.6020259382713,62110.70086472877,53669.29913527123,37.76441892359105,-85.4642683519689,34.67912174474423,58313.333333333336,61520.0,25.809999465942383,0.011483950781135012
84,2022-11-02,vic.vn,55300.0,55400.0,54000.0,55400.0,1350000.0,2.0,-1511.0526231108815,61897.87434304241,53422.12565695759,37.76441892359105,-83.88454600120266,34.67912174474423,58056.666666666664,61366.666666666664,25.860000610351562,0.01153724162550845
85,2022-11-03,vic.vn,54400.0,55100.0,54300.0,55100.0,909700.0,3.0,-1493.8295568146495,61631.6983362332,53188.3016637668,37.27703536186823,-81.35305116437196,34.67912174474423,57783.333333333336,61196.666666666664,25.299999237060547,0.04059859501791287
86,2022-11-04,vic.vn,54900.0,54900.0,52100.0,54300.0,1620000.0,4.0,-1527.1296666188646,61340.37447733729,52889.62552266271,35.995506621805475,-108.27020202020199,40.55588827958455,57506.666666666664,61021.666666666664,24.549999237060547,0.5184270811294317
87,2022-11-07,vic.vn,54000.0,54000.0,51700.0,53400.0,1700000.0,0.0,-1607.61118094845,61049.21891910914,52500.78108089086,34.61074900767724,-125.27931954155547,41.545052199587026,57220.0,60815.0,24.350000381469727,0.6945070169243698
88,2022-11-08,vic.vn,52200.0,53300.0,49700.0,53300.0,2480000.0,1.0,-1660.3233510818973,60700.170493258294,52179.829506741706,34.458378450655076,-147.6026896652535,46.17755911037957,56963.333333333336,60600.0,25.540000915527344,2.4228325953779846e-05
89,2022-11-09,vic.vn,53300.0,54300.0,52200.0,53700.0,1570000.0,2.0,-1650.792164137085,60204.66716909312,52045.33283090688,35.630979307710874,-98.3648163590878,40.42154554508979,56836.666666666664,60388.333333333336,26.09000015258789,0.2935912524679537
90,2022-11-10,vic.vn,53600.0,54000.0,52000.0,53000.0,1560000.0,3.0,-1680.3527195035422,59533.31764289036,51976.68235710964,34.51314142889031,-104.49116435007335,40.90300503729216,56783.333333333336,60173.333333333336,23.530000686645508,0.3964381017112134
91,2022-11-11,vic.vn,53000.0,54800.0,52500.0,54300.0,938500.0,4.0,-1580.659676334777,58822.3642294557,52147.6357705443,38.23582624680481,-75.11106519268523,36.343799605012286,56760.0,59956.666666666664,22.520000457763672,2.2882736628130766
92,2022-11-14,vic.vn,54200.0,55500.0,53100.0,55000.0,1390000.0,0.0,-1428.6989197058647,58769.84001037341,52100.15998962659,40.131562767665244,-54.2129327237099,32.46409732367368,56743.333333333336,59738.333333333336,23.729999542236328,0.7282461842432122
93,2022-11-15,vic.vn,55900.0,57500.0,55000.0,57000.0,1580000.0,1.0,-1133.8157181338465,58489.958947106854,52240.041052893146,45.111016918832235,6.310879407326357,22.187594739001952,56743.333333333336,59556.666666666664,24.540000915527344,4.7818093081058395
94,2022-11-16,vic.vn,56900.0,60900.0,56100.0,60400.0,2250000.0,2.0,-618.6358226784723,59064.90893381554,51855.09106618446,52.11514629184715,88.01073049938101,7.518523387813008,56756.666666666664,59463.333333333336,24.110000610351562,12.088066409094932
95,2022-11-17,vic.vn,62400.0,64600.0,60500.0,64600.0,4790000.0,3.0,127.08786547236377,61063.583694074245,50456.416305925755,58.82876269982446,201.13740358216774,5.282684481263258,56906.666666666664,59456.666666666664,23.93000030517578,15.435912974912688
96,2022-11-18,vic.vn,66900.0,66900.0,63100.0,65600.0,1690000.0,4.0,789.668101311654,63089.8094084133,49310.1905915867,60.20306401329968,233.10303394412733,12.01876228218579,57086.666666666664,59468.333333333336,23.1200008392334,0.8164367910570021
97,2022-11-21,vic.vn,66000.0,66700.0,63600.0,64000.0,1200000.0,0.0,1172.149276384458,64299.43150693388,48850.56849306612,57.051003337914665,200.0831946755405,12.018762282185794,57213.333333333336,59436.666666666664,22.360000610351562,1.524085866358121
98,2022-11-22,vic.vn,64000.0,65900.0,61000.0,61000.0,1470000.0,1.0,1219.1399488616225,64787.98858591756,48852.01141408244,51.791343257427286,136.21314835251457,3.144809425370513,57246.666666666664,59370.0,21.290000915527344,5.881978136957742
99,2022-11-23,vic.vn,60100.0,62600.0,59700.0,59700.0,998800.0,2.0,1138.3589663424573,65072.70024151403,49057.29975848597,49.735880754446725,87.33974358974342,0.9151964427365926,57236.666666666664,59305.0,20.350000381469727,1.0820349056558682
100,2022-11-25,vic.vn,63000.0,65000.0,62600.0,65000.0,2290000.0,4.0,1493.102189555677,66598.38819732543,49061.61180267457,57.10293058042571,152.23923308055524,7.753072049059336,57433.333333333336,59283.333333333336,20.5,22.626409099768317
101,2022-11-28,vic.vn,66500.0,67100.0,65000.0,65000.0,3250000.0,0.0,1732.5201391868395,67556.31363244411,49063.686367555885,57.10293058042571,160.585353274884,13.329928831215069,57733.333333333336,59300.0,22.209999084472656,0.004326000293375494
102,2022-11-29,vic.vn,65000.0,69400.0,64200.0,69400.0,3560000.0,1.0,2251.3516365994365,69380.17992028079,48639.820079719204,62.08120476291568,172.58804922269792,18.88596882305107,58100.0,59401.666666666664,21.889999389648438,12.085867572723153
