Date,Price,Open,High,Low,Vol.,Change %
05/29/2023,"83,100.00","83,500.00","83,700.00","82,900.00",879.60K,0.00%
05/26/2023,"83,100.00","83,100.00","83,400.00","82,300.00",864.40K,-0.12%
05/25/2023,"83,200.00","81,200.00","83,400.00","81,000.00",1.34M,2.34%
05/24/2023,"81,300.00","82,000.00","82,100.00","81,100.00",464.30K,-0.85%
05/23/2023,"82,000.00","82,500.00","82,500.00","81,400.00",656.50K,-0.61%
05/22/2023,"82,500.00","82,800.00","82,800.00","82,000.00",561.00K,-0.36%
05/19/2023,"82,800.00","83,000.00","83,300.00","81,800.00",1.07M,-0.12%
05/18/2023,"82,900.00","81,800.00","83,000.00","81,400.00",1.55M,1.72%
05/17/2023,"81,500.00","81,900.00","82,700.00","81,100.00",976.20K,0.00%
05/16/2023,"81,500.00","81,000.00","81,700.00","80,800.00",766.50K,0.62%
05/15/2023,"81,000.00","81,400.00","81,800.00","80,800.00",934.70K,0.62%
05/12/2023,"80,500.00","79,300.00","80,600.00","78,800.00",1.08M,1.77%
05/11/2023,"79,100.00","79,100.00","79,600.00","79,000.00",475.90K,0.13%
05/10/2023,"79,000.00","79,000.00","79,600.00","79,000.00",632.50K,0.13%
05/09/2023,"78,900.00","78,600.00","79,800.00","78,600.00",605.90K,0.51%
05/08/2023,"78,500.00","78,500.00","78,900.00","78,400.00",362.90K,0.13%
05/05/2023,"78,400.00","78,600.00","78,600.00","78,200.00",319.20K,-0.13%
05/04/2023,"78,500.00","77,800.00","78,700.00","77,600.00",497.20K,1.29%
04/28/2023,"77,500.00","78,800.00","78,800.00","77,500.00",945.60K,-1.02%
04/27/2023,"78,300.00","78,100.00","78,800.00","78,100.00",221.00K,0.00%
04/26/2023,"78,300.00","78,100.00","78,400.00","77,600.00",772.00K,-0.13%
04/25/2023,"78,400.00","79,100.00","79,300.00","78,300.00",540.00K,-0.88%
04/24/2023,"79,100.00","79,500.00","80,600.00","79,000.00",794.50K,-0.25%
04/21/2023,"79,300.00","80,000.00","80,000.00","79,300.00",324.00K,-0.13%
04/20/2023,"79,400.00","79,800.00","79,800.00","79,200.00",364.40K,0.13%
04/19/2023,"79,300.00","79,800.00","79,800.00","79,300.00",419.80K,-0.13%
04/18/2023,"79,400.00","79,600.00","80,000.00","79,200.00",301.60K,-0.25%
04/17/2023,"79,600.00","79,600.00","79,700.00","79,000.00",449.90K,0.00%
04/14/2023,"79,600.00","79,900.00","80,100.00","79,300.00",398.80K,0.00%
04/13/2023,"79,600.00","80,300.00","80,400.00","79,300.00",540.50K,-0.87%
04/12/2023,"80,300.00","80,300.00","80,500.00","79,900.00",574.70K,0.00%
